id;nome;cpf;especializacao;data_formacao;telefone;email;data_nascimento
1;huff melody inexperienced;ha;NUTRICIONISTA;2024-05-20T20:23:39;15870;Laura43@bol.com.br;2024-05-21T04:04:36
2;exposition far;pedestrianize whenever;NUTRICIONISTA;2024-05-21T16:54:24;6077;JulioCesar.Silva47@gmail.com;2024-05-21T04:07:48
3;onto inasmuch kosher;kookily;NUTRICIONISTA;2024-05-21T02:56:33;20903;Carlos_Reis33@yahoo.com;2024-05-21T05:24:39
4;following hemorrhage drat;luxurious anenst separate;NUTRICIONISTA;2024-05-21T12:58:43;14842;Lorraine73@gmail.com;2024-05-21T02:39:55
5;awful actually aw;boohoo;PSICOLOGO;2024-05-21T09:29:50;27599;Feliciano96@yahoo.com;2024-05-21T00:16:59
6;yum jiggle really;jinx than gah;MEDICO;2024-05-21T14:22:16;7076;Karla34@live.com;2024-05-20T22:29:15
7;kludge per after;concerning almost ill-informed;PERSONAL_TRAINER;2024-05-21T15:22:05;18695;Arthur.Nogueira@live.com;2024-05-21T01:56:34
8;entity;whoa while anti;MEDICO;2024-05-21T13:30:41;10658;AnaLuiza_Moraes@yahoo.com;2024-05-21T14:10:05
9;jewellery;authorized;NUTRICIONISTA;2024-05-20T23:31:07;1870;Antonio10@gmail.com;2024-05-21T12:42:45
10;gadzooks effect enormous;eek whoa above;PERSONAL_TRAINER;2024-05-21T02:16:23;32656;Gabriel32@hotmail.com;2024-05-21T03:09:43
